controlled.cancer.type,condition.synonyms
Neuroendocrine: Pituitary,Neuroendocrine Cancer
Neuroendocrine: Pituitary,Neuroendocrine neoplasm
Neuroendocrine: Pituitary,Pituitary neuroendocrine tumors
NSCLC,NSCLC
NSCLC,non-small cell lung cancer
NSCLC,nonsmall cell lung cancer
NSCLC,"lung cancer, non-small cell"
NSCLC,Non Small Cell Lung Carcinoma
NSCLC,Lung Non-Small Cell Carcinoma
NSCLC,lung cancer non small cell
NSCLC,Non-Small Cell Carcinoma of Lung
SCLC,SCLC
SCLC,Small cell lung cancer
SCLC,small cell lung carcinoma
SCLC,small cell carcinoma
SCLC,Oat cell carcinoma of lung
SCLC,Oat cell lung cancer
SCLC,Small Cell Cancer Of The Lung
Mesothelioma,Mesothelioma
Sarcoma: Soft Tissue              ,sarcoma
Sarcoma: Soft Tissue              ,Malignant tumor of soft tissue
Sarcoma: Soft Tissue              ,Malignant soft tissue neoplasm
Sarcoma: Soft Tissue              ,Malignant mesenchymal tumor
Sarcoma: Soft Tissue              ,Malignant Soft Tissue Tumor
Sarcoma: Soft Tissue              ,Soft tissue cancer
Sarcoma: Soft Tissue              ,soft tissue sarcoma
Sarcoma: Bone,bone sarcoma
Sarcoma: Bone,Osteosarcoma
Sarcoma: Bone,Sarcoma of bone
Sarcoma: Bone,Osteogenic sarcoma
Sarcoma: Bone,osteoid sarcoma
Sarcoma: Bone,Osseous Sarcoma
Thymoma,thymic cancer
Thymoma,thymus-cancer
Thymoma,thymus cancer
Thymic Carcinoma,thymic cancer
Thymic Carcinoma,thymus-cancer
Thymic Carcinoma,thymus cancer
Papillary,thyroid cancer
Papillary,thyroid neoplasm
Papillary,thyroid carcinoma
Papillary,thyroid gland carcinoma
Papillary,thyroid tumor
Papillary,neoplasm of thyroid
Papillary,cancer of the thyroid
Papillary,carcinoma of the thyroid
Medullary,thyroid cancer
Medullary,thyroid neoplasm
Medullary,thyroid carcinoma
Medullary,thyroid gland carcinoma
Medullary,thyroid tumor
Medullary,neoplasm of thyroid
Medullary,cancer of the thyroid
Medullary,carcinoma of the thyroid
Anaplastic,thyroid cancer
Anaplastic,thyroid neoplasm
Anaplastic,thyroid carcinoma
Anaplastic,thyroid gland carcinoma
Anaplastic,thyroid tumor
Anaplastic,neoplasm of thyroid
Anaplastic,cancer of the thyroid
Anaplastic,carcinoma of the thyroid
Solid,solid tumor
Solid,solid tumour
Solid,solid neoplasm
Thyroid,thyroid cancer
Thyroid,thyroid neoplasm
Thyroid,thyroid carcinoma
Thyroid,thyroid gland carcinoma
Thyroid,thyroid tumor
Thyroid,neoplasm of thyroid
Thyroid,cancer of the thyroid
Thyroid,carcinoma of the thyroid
Skin,melanoma
Skin,Squamous cell carcinoma
Skin,Squamous carcinoma
Skin,cancer squamous cell
Skin,Epidermoid carcinoma
Skin,Basal cell carcinoma
Skin,Basal cell skin cancer
Skin,Basal Cell Epithelioma
Skin,skin cancer
Skin,Skin Neoplasm
Skin,Skin Neoplasm
Skin,skin tumor
Skin,Cutaneous tumor
Skin,Neoplasm of skin
Skin,cancer of skin
Skin,cancer of the skin
Skin,cancer skin
Skin,tumor skin
Skin,Cutaneous neoplasm
Skin,Tumor of skin
Skin,Tumor of the skin
Lung,NSCLC
Lung,non-small cell lung cancer
Lung,nonsmall cell lung cancer
Lung,"lung cancer, non-small cell"
Lung,Non Small Cell Lung Carcinoma
Lung,Lung Non-Small Cell Carcinoma
Lung,lung cancer non small cell
Lung,Non-Small Cell Carcinoma of Lung
Lung,SCLC
Lung,Small cell lung cancer
Lung,small cell lung carcinoma
Lung,small cell carcinoma
Lung,Oat cell carcinoma of lung
Lung,Oat cell lung cancer
Lung,Small Cell Cancer Of The Lung
Lung,Mesothelioma
Lung,Lung Neoplasm
Lung,Lung carcinoma
Lung,lung tumors
Lung,Carcinoma of the Lung
Lung,Cancer of the Lung
Lung,Neoplasm of lung
Lung,Pulmonary Neoplasm
Lung,CARCINOMA OF LUNG
Lung,pulmonary cancer
Lung,Cancer of Lung
Lung,lung malignancies
Lung,Tumor of the Lung
Lung,cancers lungs
Lung,Tumor of lung
Lung,lung malignant tumors
Lung,Neoplasm of the lung
Lung,pulmonary carcinoma
Lung,Pulmonary neoplasia
Lymphoma,Lymphoma
Lymphoma,Lymphomatous
Lymphoma,Lymphosarcoma
Leukemia,Leukemia
Myeloid leukemia,"Leukemia, Myeloid"
Myeloid leukemia,Myeloid leukemia
Myeloid leukemia,Myelogenous Leukemia
Myeloid leukemia,Myelocytic Leukemia
Myeloid leukemia,Non-lymphocytic Leukemia
Myeloid leukemia,Granulocytic Leukemia
Myeloid leukemia,Non-lymphoblastic Leukemia
Chronic leukemia,"Leukemia, Chronic"
Chronic leukemia,Chronic leukemia
Chronic leukemia,Leukaemia chronic
Myeloid leukemia,"Leukemia, Myeloid"
Myeloid leukemia,Myeloid leukemia
Myeloid leukemia,Myelogenous Leukemia
Myeloid leukemia,Myelocytic Leukemia
Myeloid leukemia,Non-lymphocytic Leukemia
Myeloid leukemia,Granulocytic Leukemia
Myeloid leukemia,Non-lymphoblastic Leukemia
B-cell leukemia,"Leukemia, B-cell"
B-cell leukemia,b cell leukemia
B-cell leukemia,B Lymphocytic Leukemia
B-cell leukemia,B-Cell Lymphocytic Leukemia
T-cell leukemia,"Leukemia, T Cell"
T-cell leukemia,T-cell leukemia
T-cell leukemia,T Lymphocytic Leukemia
T-cell leukemia,leukemia t cell
T-cell leukemia,T-Cell Lymphocytic Leukemia
